CODI_LLAR	T2_H_HABITUAL_1	T2_DESP_1	T2_QUI_ES_1	T2_NUM_ORDRE_1	T2_H_HABITUAL_2	T2_DESP_2	T2_QUI_ES_2	T2_NUM_ORDRE_2	T2_H_HABITUAL_3	T2_DESP_3	T2_QUI_ES_3	T2_NUM_ORDRE_3	T2_H_HABITUAL_4	T2_DESP_4	T2_QUI_ES_4	T2_NUM_ORDRE_4	T2_H_HABITUAL_5	T2_DESP_5	T2_QUI_ES_5	T2_NUM_ORDRE_5	T2_H_HABITUAL_6	T2_DESP_6	T2_QUI_ES_6	T2_NUM_ORDRE_6	T2_H_HABITUAL_7	T2_DESP_7	T2_QUI_ES_7	T2_NUM_ORDRE_7	T2_H_HABITUAL_8	T2_DESP_8	T2_QUI_ES_8	T2_NUM_ORDRE_8	T2_H_HABITUAL_9	T2_DESP_9	T2_QUI_ES_9	T2_NUM_ORDRE_9	T2_H_HABITUAL_10	T2_DESP_10	T2_QUI_ES_10	T2_NUM_ORDRE_10	T2_H_HABITUAL_11	T2_DESP_11	T2_QUI_ES_11	T2_NUM_ORDRE_11	T2_H_HABITUAL_12	T2_DESP_12	T2_QUI_ES_12	T2_NUM_ORDRE_12	T2_H_HABITUAL_13	T2_DESP_13	T2_QUI_ES_13	T2_NUM_ORDRE_13	T2_H_HABITUAL_14	T2_DESP_14	T2_QUI_ES_14	T2_NUM_ORDRE_14	T2_H_HABITUAL_15	T2_DESP_15	T2_QUI_ES_15	T2_NUM_ORDRE_15	T3_ABSENCIA_1	T3_DUR_ABS_1	T3_DESP2_1	T3_ES2_1	T3_NUM_ORDRE_1	T3_ABSENCIA_2	T3_DUR_ABS_2	T3_DESP2_2	T3_ES2_2	T3_NUM_ORDRE_2	T3_ABSENCIA_3	T3_DUR_ABS_3	T3_DESP2_3	T3_ES2_3	T3_NUM_ORDRE_3	T3_ABSENCIA_4	T3_DUR_ABS_4	T3_DESP2_4	T3_ES2_4	T3_NUM_ORDRE_4	T3_ABSENCIA_5	T3_DUR_ABS_5	T3_DESP2_5	T3_ES2_5	T3_NUM_ORDRE_5	T3_ABSENCIA_6	T3_DUR_ABS_6	T3_DESP2_6	T3_ES2_6	T3_NUM_ORDRE_6	T3_ABSENCIA_7	T3_DUR_ABS_7	T3_DESP2_7	T3_ES2_7	T3_NUM_ORDRE_7	T3_ABSENCIA_8	T3_DUR_ABS_8	T3_DESP2_8	T3_ES2_8	T3_NUM_ORDRE_8	T3_ABSENCIA_9	T3_DUR_ABS_9	T3_DESP2_9	T3_ES2_9	T3_NUM_ORDRE_9	T3_ABSENCIA_10	T3_DUR_ABS_10	T3_DESP2_10	T3_ES2_10	T3_NUM_ORDRE_10	T3_ABSENCIA_11	T3_DUR_ABS_11	T3_DESP2_11	T3_ES2_11	T3_NUM_ORDRE_11	T3_ABSENCIA_12	T3_DUR_ABS_12	T3_DESP2_12	T3_ES2_12	T3_NUM_ORDRE_12	T3_ABSENCIA_13	T3_DUR_ABS_13	T3_DESP2_13	T3_ES2_13	T3_NUM_ORDRE_13	T3_ABSENCIA_14	T3_DUR_ABS_14	T3_DESP2_14	T3_ES2_14	T3_NUM_ORDRE_14	T3_ABSENCIA_15	T3_DUR_ABS_15	T3_DESP2_15	T3_ES2_15	T3_NUM_ORDRE_15	T4_SEXE_1	T4_SEXE_2	T4_SEXE_3	T4_SEXE_4	T4_SEXE_5	T4_SEXE_6	T4_SEXE_7	T4_SEXE_8	T4_SEXE_9	T4_SEXE_10	T4_SEXE_11	T4_SEXE_12	T4_SEXE_13	T4_SEXE_14	T4_SEXE_15	T4_MES_NAIX_1	T4_MES_NAIX_2	T4_MES_NAIX_3	T4_MES_NAIX_4	T4_MES_NAIX_5	T4_MES_NAIX_6	T4_MES_NAIX_7	T4_MES_NAIX_8	T4_MES_NAIX_9	T4_MES_NAIX_10	T4_MES_NAIX_11	T4_MES_NAIX_12	T4_MES_NAIX_13	T4_MES_NAIX_14	T4_MES_NAIX_15	T4_ANY_NAIX_1	T4_ANY_NAIX_2	T4_ANY_NAIX_3	T4_ANY_NAIX_4	T4_ANY_NAIX_5	T4_ANY_NAIX_6	T4_ANY_NAIX_7	T4_ANY_NAIX_8	T4_ANY_NAIX_9	T4_ANY_NAIX_10	T4_ANY_NAIX_11	T4_ANY_NAIX_12	T4_ANY_NAIX_13	T4_ANY_NAIX_14	T4_ANY_NAIX_15	T4_EDAT_1	T4_EDAT_2	T4_EDAT_3	T4_EDAT_4	T4_EDAT_5	T4_EDAT_6	T4_EDAT_7	T4_EDAT_8	T4_EDAT_9	T4_EDAT_10	T4_EDAT_11	T4_EDAT_12	T4_EDAT_13	T4_EDAT_14	T4_EDAT_15	T4_REL_ACT_1	T4_REL_ACT_2	T4_REL_ACT_3	T4_REL_ACT_4	T4_REL_ACT_5	T4_REL_ACT_6	T4_REL_ACT_7	T4_REL_ACT_8	T4_REL_ACT_9	T4_REL_ACT_10	T4_REL_ACT_11	T4_REL_ACT_12	T4_REL_ACT_13	T4_REL_ACT_14	T4_REL_ACT_15	T4_PARENTIU02_1	T4_PARENTIU03_1	T4_PARENTIU03_2	T4_PARENTIU04_1	T4_PARENTIU04_2	T4_PARENTIU04_3	T4_PARENTIU05_1	T4_PARENTIU05_2	T4_PARENTIU05_3	T4_PARENTIU05_4	T4_PARENTIU06_1	T4_PARENTIU06_2	T4_PARENTIU06_3	T4_PARENTIU06_4	T4_PARENTIU06_5	T4_PARENTIU07_1	T4_PARENTIU07_2	T4_PARENTIU07_3	T4_PARENTIU07_4	T4_PARENTIU07_5	T4_PARENTIU07_6	T4_PARENTIU08_1	T4_PARENTIU08_2	T4_PARENTIU08_3	T4_PARENTIU08_4	T4_PARENTIU08_5	T4_PARENTIU08_6	T4_PARENTIU08_7	T4_PARENTIU09_1	T4_PARENTIU09_2	T4_PARENTIU09_3	T4_PARENTIU09_4	T4_PARENTIU09_5	T4_PARENTIU09_6	T4_PARENTIU09_7	T4_PARENTIU09_8	T4_PARENTIU10_1	T4_PARENTIU10_2	T4_PARENTIU10_3	T4_PARENTIU10_4	T4_PARENTIU10_5	T4_PARENTIU10_6	T4_PARENTIU10_7	T4_PARENTIU10_8	T4_PARENTIU10_9	T4_PARENTIU11_1	T4_PARENTIU11_2	T4_PARENTIU11_3	T4_PARENTIU11_4	T4_PARENTIU11_5	T4_PARENTIU11_6	T4_PARENTIU11_7	T4_PARENTIU11_8	T4_PARENTIU11_9	T4_PARENTIU11_10	T4_PARENTIU12_1	T4_PARENTIU12_2	T4_PARENTIU12_3	T4_PARENTIU12_4	T4_PARENTIU12_5	T4_PARENTIU12_6	T4_PARENTIU12_7	T4_PARENTIU12_8	T4_PARENTIU12_9	T4_PARENTIU12_10	T4_PARENTIU12_11	T4_PARENTIU13_1	T4_PARENTIU13_2	T4_PARENTIU13_3	T4_PARENTIU13_4	T4_PARENTIU13_5	T4_PARENTIU13_6	T4_PARENTIU13_7	T4_PARENTIU13_8	T4_PARENTIU13_9	T4_PARENTIU13_10	T4_PARENTIU13_11	T4_PARENTIU13_12	T4_PARENTIU14_1	T4_PARENTIU14_2	T4_PARENTIU14_3	T4_PARENTIU14_4	T4_PARENTIU14_5	T4_PARENTIU14_6	T4_PARENTIU14_7	T4_PARENTIU14_8	T4_PARENTIU14_9	T4_PARENTIU14_10	T4_PARENTIU14_11	T4_PARENTIU14_12	T4_PARENTIU14_13	T4_PARENTIU15_1	T4_PARENTIU15_2	T4_PARENTIU15_3	T4_PARENTIU15_4	T4_PARENTIU15_5	T4_PARENTIU15_6	T4_PARENTIU15_7	T4_PARENTIU15_8	T4_PARENTIU15_9	T4_PARENTIU15_10	T4_PARENTIU15_11	T4_PARENTIU15_12	T4_PARENTIU15_13	T4_PARENTIU15_14	T5_TIPUS_LLAR	T5_NUM_MEMBRES	T5_CURA	T5_NUM_CURA	T5_AD_DEP	T5_INGRESSOS	T5_AJ_REBUTS01	T5_AJ_HORES01	T5_AJ_PAGAR01	T5_AJ_REBUTS02	T5_AJ_HORES02	T5_AJ_PAGAR02	T5_AJ_REBUTS03	T5_AJ_HORES03	T5_AJ_PAGAR03	T5_AJ_REBUTS04	T5_AJ_HORES04	T5_AJ_PAGAR04	T5_AJ_REBUTS05	T5_AJ_HORES05	T5_AJ_PAGAR05	T5_AJ_REBUTS06	T5_AJ_HORES06	T5_AJ_PAGAR06	T5_AJ_REBUTS07	T5_AJ_HORES07	T5_AJ_PAGAR07	T5_AJ_REBUTS08	T5_AJ_HORES08	T5_AJ_PAGAR08	T5_AJ_REBUTS09	T5_AJ_HORES09	T5_AJ_PAGAR09	T5_AJ_REBUTS10	T5_AJ_HORES10	T5_AJ_PAGAR10	PES_LLARS_CALMAR
2735	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	4									 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6	6	6			 	 	 	 	 	 	 	 	 	6	1	7	4			 	 	 	 	 	 	 	 	 	1964	1966	1988	1993			 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	1	1	3			 	 	 	 	 	 	 	 	 	1	2	2	2	2	3										 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	6		6	4	6			6			6			6			6			6			6			6			6			6			832951
2736	1	1	1	1	1	1	2	2																	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	6					 	 	 	 	 	 	 	 	 	5	3					 	 	 	 	 	 	 	 	 	1929	1966					 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	6	1					 	 	 	 	 	 	 	 	 	11															 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	2	6		1	5	6			6			6			6			6			6			1	2	6	6			1	3	6	6			832951
2741	1	1	1	1																					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6						 	 	 	 	 	 	 	 	 	11						 	 	 	 	 	 	 	 	 	1935						 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	4						 	 	 	 	 	 	 	 	 																 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6		6	1	6			6			6			6			6			6			6			6			6			6			832951
2743	1	1	1	1																					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1						 	 	 	 	 	 	 	 	 	1						 	 	 	 	 	 	 	 	 	1972						 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1						 	 	 	 	 	 	 	 	 																 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6		6	99	6			6			6			6			6			6			6			6			6			6			832951
2744	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6				 	 	 	 	 	 	 	 	 	11	8	4				 	 	 	 	 	 	 	 	 	1966	2006	2005				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	2	3	3				 	 	 	 	 	 	 	 	 	2	2	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	3	6		6	1	6			6			6			6			6			6			6			6			6			6			832951
2752	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	4									 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6	1	6			 	 	 	 	 	 	 	 	 	2	5	8	11			 	 	 	 	 	 	 	 	 	1978	1976	2006	2010			 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	1	3	9			 	 	 	 	 	 	 	 	 	1	2	2	2	2	3										 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	6		6	8	6			6			6			6			6			6			6			6			6			6			832951
2754	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	4									 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6	1			 	 	 	 	 	 	 	 	 	9	8	1	3			 	 	 	 	 	 	 	 	 	1988	1959	1965	1996			 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	3	1	1	3			 	 	 	 	 	 	 	 	 	4	4	1	3	2	2										 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	6		6	9	6			1	6	1	6			6			6			6			6			6			6			6			832951
2759	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	1				 	 	 	 	 	 	 	 	 	5	8	7				 	 	 	 	 	 	 	 	 	1975	1974	2007				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	2	1	3				 	 	 	 	 	 	 	 	 	1	2	2													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	1	6	4	6			6			6			6			6			6			6			6			6			6			832951
2761	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6	1				 	 	 	 	 	 	 	 	 	3	2					 	 	 	 	 	 	 	 	 	1975	1972					 	 	 	 	 	 	 	 	 			9				 	 	 	 	 	 	 	 	 	1	1	9				 	 	 	 	 	 	 	 	 	1	2	2													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	6		6	9	6			6			6			6			6			6			6			6			6			6			832951
2763	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6	6				 	 	 	 	 	 	 	 	 	12	3	9				 	 	 	 	 	 	 	 	 	1952	1977	2006				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	4	1	3				 	 	 	 	 	 	 	 	 	1	2	2													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	1	6	8	6			6			6			6			6			6			6			6			6			6			832951
2764	1	1	1	1	1	1	1	2																	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1					 	 	 	 	 	 	 	 	 	7	11					 	 	 	 	 	 	 	 	 	1982	1960					 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	2					 	 	 	 	 	 	 	 	 	1															 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	6		6	1	6			6			6			6			6			6			6			6			6			6			832951
2765	1	1	1	1	1	1	1	2																	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6					 	 	 	 	 	 	 	 	 	2	9					 	 	 	 	 	 	 	 	 	1942	1950					 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	4	1					 	 	 	 	 	 	 	 	 	1															 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	6		6	99	6			6			6			6			6			6			6			6			6			6			832951
2767	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	6	1				 	 	 	 	 	 	 	 	 	6	1	5				 	 	 	 	 	 	 	 	 	1923	1958	1980				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	4	1	1				 	 	 	 	 	 	 	 	 	2	5	2													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	3	6		6	98	6			6			6			6			6			6			6			6			6			6			832951
2768	1	1	1	1	1	1	1	2																	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6					 	 	 	 	 	 	 	 	 	9	6					 	 	 	 	 	 	 	 	 	1958	1965					 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	1					 	 	 	 	 	 	 	 	 	1															 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	6		6	6	6			6			6			6			6			6			6			6			6			6			832951
2770	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6				 	 	 	 	 	 	 	 	 	7	5	12				 	 	 	 	 	 	 	 	 	1990	1942	1962				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	3	4	1				 	 	 	 	 	 	 	 	 	4	4	1													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	3	6		6	2	6			6			6			6			6			6			6			6			6			6			832951
2771	1	1	1	1	1	1	1	2																	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6					 	 	 	 	 	 	 	 	 	5	11					 	 	 	 	 	 	 	 	 	1949	1950					 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	8					 	 	 	 	 	 	 	 	 	1															 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	6		6	98	6			6			6			6			6			6			6			6			6			6			832951
2775	1	1	1	1	1	1	1	2	1	1	1	3													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 							 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6				 	 	 	 	 	 	 	 	 	2	12	3				 	 	 	 	 	 	 	 	 	1957	1961	1990				 	 	 	 	 	 	 	 	 							 	 	 	 	 	 	 	 	 	1	2	1				 	 	 	 	 	 	 	 	 	1	2	2													 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	3	6		6	5	6			6			6			6			6			6			6			6			6			6			832951
